ime,visina,vrsta,ogledi,mesto_priljubljenosti,stevilo_slik,stevilo_poti,stevilo_gps_sledi,stevilo_vpisov_v_vpisni_knjigi
Vevnica,2342,vrh,467827,388,2,1,0,
Visoka Bela Špica / Cima Alta di Riobianco,2257,"vrh, bivak",5180,2086,2,1,0,
Visoka glava (na Matajurju),1540,vrh,1262,2406,3,1,0,
Visoka glava,1822,vrh,200949,1381,4,1,0,
Visoka peč,1749,vrh,13900,1997,6,4,0,1
Visoka Ponca,2274,vrh,536703,206,12,3,0,
Visoka Vrbanova špica,2408,vrh,545362,183,11,6,2,4
Visoki Kanin,2587,vrh,602778,108,7,5,0,
Visoki Mavrinc,1562,vrh,474794,364,3,2,0,3
Visoki Orlov rob,1800,vrh,278143,1085,2,2,0,
Visoki Rokav,2646,vrh,509909,273,2,2,0,
Viš/Jof Fuart,2666,vrh,591694,124,12,5,0,2
Višarska planina / Malga di Lussari,1570,planina,324598,900,5,2,0,
Viševnik,2050,vrh,865252,9,15,21,3,25
Viška planina,1530,planina,286772,1049,4,1,0,
Vodnikov dom na Velem polju,1817,"koča, bivak",597533,114,6,8,0,8
Vodnikov razglednik,1017,vrh,14930,1992,5,2,0,
Vodnikov Vršac (Vršac nad Zadnjico),2194,vrh,356849,783,17,5,0,1
Vogel (nad Lepeno),1980,vrh,4040,2124,7,2,0,
Vogel,1922,vrh,633054,83,10,19,2,6
Vošni vrh,1621,vrh,179988,1462,2,1,0,1
Vratni vrh,1983,vrh,63,2890,6,1,0,
Vrh Bače,1273,sedlo,386554,676,11,3,0,
Vrh Brda / Cima Verde,2661,vrh,448236,456,2,1,0,
Vrh Dlani,1852,vrh,221597,1296,2,1,0,
Vrh Grubje,2240,vrh,239544,1232,2,1,0,
Vrh Hribaric,2388,vrh,358851,776,4,4,0,1
Vrh Krnega dola / Monte Cregnedul,2351,vrh,266441,1124,5,1,0,
Vrh Krnic,1896,vrh,269787,1113,7,8,0,1
Vrh Krnice,2441,vrh,349273,814,3,1,0,
Vrh Leh,1958,vrh,206197,1359,3,1,0,1
Vrh nad Peski,2176,vrh,478064,357,10,6,0,2
Vrh nad Vodeno Rupo,1995,vrh,202567,1373,3,1,0,
Vrh nad Škrbino,2054,vrh,490998,320,4,12,0,
Vrh Osojnic,2371,vrh,2992,2182,2,3,0,
Vrh Ovčje planje,1965,vrh,258512,1154,7,1,0,
Vrh Planje (nad Globokim),1863,vrh,261389,1145,2,6,0,
Vrh Planje,1971,vrh,352777,799,3,3,0,
Vrh Razora,1893,vrh,394284,649,4,3,0,
Vrh Snežne konte,2342,vrh,365479,748,5,3,0,
Vrh Škrli,1926,vrh,243250,1213,3,2,0,1
Vrtaška planina,1462,"bivak, planina",422930,544,13,2,0,
Vrtaški vrh,1898,vrh,451946,443,5,4,1,
Vrtec,1809,vrh,273063,1097,4,1,0,
Vršaki (Južni vrh),2431,vrh,247593,1200,3,2,0,1
Vršaki (Srednji vrh),2424,vrh,309583,960,3,2,0,1
Vršaki (Vrh za Koritami),2422,vrh,215342,1321,2,2,0,1
Vršaki (Vzhodni vrh),2448,vrh,323255,909,5,4,0,
Vrše,850,vrh,2927,2189,5,2,0,
Vršič vrh,1737,vrh,581976,135,9,4,0,7
Zadnja Mojstrovka,2354,vrh,435603,501,8,2,0,3
Zadnja Ponca,2242,vrh,338653,852,4,2,1,
Zadnji Vogel,2327,vrh,457591,429,5,1,1,
Zadnjiški Ozebnik,2084,vrh,466973,391,5,2,1,
Zagorelec,2090,vrh,210,2769,14,1,0,
Zasavska koča na Prehodavcih,2071,"vrh, koča, bivak",674162,54,9,7,0,4
Zavetišče pod Ponco,1657,bivak,318455,924,1,1,0,
Zavetišče pod Špičkom,2064,"koča, bivak",510204,271,3,4,0,2
Zavitar,1750,vrh,335796,863,2,2,0,
Zelenci,845,jezero,502132,295,8,3,0,3
Zeleni vrh,2052,vrh,353147,797,5,6,0,
Zeleno jezero,1988,jezero,457643,428,8,4,0,
Zgornje Kriško jezero,2158,jezero,493442,313,7,2,0,
Zgornje Mangartsko jezero,929,"koča, jezero",370462,736,5,3,0,
Zgornji Goreljek (Pokljuka),1260,"koča, planina, cerkev",5020,2089,9,5,0,
Zgornji Martuljkov slap,1150,slap,410073,591,2,2,1,
Čelo,2228,vrh,451568,444,7,7,1,
Četrt,1832,vrh,244189,1208,4,4,0,
Čisti vrh,1875,vrh,383928,682,3,1,0,
Črna gora,1350,"vrh, bivak",401954,615,4,1,1,
Črna prst,1844,"vrh, koča, bivak",732469,38,17,18,0,9
Črni vrh / Colrotondo,1486,vrh,1529,2353,7,2,0,
Črno jezero,1294,jezero,554961,166,4,3,0,1
Čukla,1767,vrh,469175,381,3,1,0,
Šavnik,1574,vrh,438305,487,10,6,0,1
Šija,1880,vrh,505940,284,8,5,1,2
Široka peč,2497,vrh,449273,449,2,1,0,1
Šitna glava,2087,vrh,490943,321,7,1,0,2
Škednjovec,2309,vrh,396211,643,17,2,0,
Škraplja,1794,vrh,275240,1090,10,1,0,
Škrbina (Mežakla),1210,vrh,340282,845,4,2,0,1
Škrlatica,2740,vrh,743153,36,23,5,2,2
Šmarjetna glava,2358,vrh,386992,674,4,4,0,
Šober / Monte Sciober Grande,1845,vrh,317997,925,10,4,0,
Špik Hude police / Cima di Terrarossa,2420,vrh,583913,131,2,2,0,3
Špik nad Nosom / Foronon del Buinz,2531,"vrh, bivak",480909,350,7,2,0,
Špik nad Planjo / Punta Plagnis,2411,vrh,304953,978,10,1,0,1
Špik,2472,vrh,716832,41,18,5,3,2
Šplevta (Indijanec),2382,vrh,384985,681,3,2,0,
Šplevta,2272,,430321,520,3,2,0,
Žabiški Kuk,1844,vrh,358580,777,20,6,0,
Žerjavec (Kavče),805,vrh,2043,2267,9,2,0,
Žičnica čez Tolminko,500,,256189,1166,1,1,0,
Žrd / Sart,2324,vrh,390179,663,4,2,0,
