ime,visina,vrsta,ogledi,mesto_priljubljenosti,stevilo_slik,stevilo_poti,stevilo_gps_sledi,stevilo_vpisov_v_vpisni_knjigi
Jerebikovec,1593,"vrh, bivak",512422,264,10,4,1,5
Jezerce v dolini Radovne,657,jezero,1060,2463,2,1,0,
Jezero Jasna,830,"koča, jezero",11650,2003,15,1,0,3
Jezero Kreda v dolini Radovne,674,jezero,1250,2408,6,1,0,
Jezero Kreda,715,jezero,9683,2013,9,2,0,1
Jezero v Ledvicah,1831,jezero,466766,393,11,3,0,
Jezero v Lužnici,1801,jezero,430790,516,6,3,0,
Jezerska planina / Alpe del Lago,1006,planina,1190,2425,6,1,0,
Jezerski Stog,2040,vrh,507128,279,11,6,1,
Kal,2001,vrh,397595,636,6,1,0,
Kamin Široka polica,780,,711,2553,5,1,0,
Kamniti lovec / Cima del Cacciatore,2071,vrh,532106,215,5,5,0,2
Kanjavec (Zahodni vrh),2569,vrh,388890,668,4,4,0,
Kanjavec,2569,vrh,615550,95,15,9,0,4
Klatnica ,1000,,214825,1324,4,1,0,
Klečica,1889,vrh,198969,1386,0,0,0,
Kobala,1080,vrh,241448,1223,3,1,0,
Kobilja glava,1475,vrh,433985,508,10,2,0,
Kobla,1498,vrh,469676,378,6,4,0,
Kol,2350,vrh,323573,908,3,2,0,1
Konjc,2289,vrh,325986,895,4,2,0,
Konjski vrh,1879,vrh,300446,1000,3,4,1,
Kopica,2190,vrh,440033,481,15,3,0,1
Korita Mlinarice,770,slap,417144,567,2,1,0,
Korita Možnice (Nemčlje),580,slap,316924,930,6,1,0,
Korita Soče pri Kršovcu,390,,321868,913,2,1,0,
Kosijev dom na Vogarju,1054,"koča, planina",514107,262,3,1,0,5
Kota 1313,1313,vrh,388228,671,2,1,1,
Kotovo sedlo,2134,sedlo,471325,375,2,2,0,
Kovačičeva glava,1827,vrh,224707,1284,6,1,0,
Kovinarska koča v Krmi,870,"koča, planina",363317,755,4,3,0,1
Kozlov rob,426,vrh,374038,716,8,2,0,2
Koča na Doliču,2151,"koča, sedlo",594707,119,10,9,0,
Koča na Gozdu,1226,koča,466896,392,3,1,0,1
Koča na Petrovem Brdu,804,"koča, sedlo",365644,747,10,1,0,1
Koča na planini Kuhinja,1002,"koča, planina",322685,911,2,1,0,3
Koča na Planini pri Jezeru,1453,"koča, jezero, bivak, planina",602766,109,21,6,0,
Koča na planini Razor,1315,"koča, bivak, planina",582902,132,14,5,0,3
Koča na planini Stador,1050,"koča, planina",310674,956,3,0,0,1
Koča na Soriški planini,1306,"koča, planina",521058,246,7,4,2,2
Koča na Uskovnici,1154,"koča, planina, cerkev",597361,115,24,7,0,7
Koča na Vojah,690,koča,407266,597,2,1,0,1
Koča pod Bogatinom,1513,"koča, planina",530139,222,12,3,0,5
Koča pri Peričniku,750,koča,289629,1036,2,2,0,
Koča pri Savici,653,koča,8950,2017,3,3,1,1
Koča pri Triglavskih jezerih,1685,"koča, jezero, bivak",857079,10,22,8,0,2
Koča v Krnici,1113,koča,572844,142,7,3,0,9
Koštrunove špice,2502,vrh,455613,436,2,3,0,
Kraljevska špica/Monte Re,1912,vrh,365055,750,5,1,0,
Krasji vrh,1773,vrh,529840,223,5,3,0,1
Kravja Črna gora,1541,vrh,306122,969,3,1,0,
Kreda,2025,vrh,448527,455,6,2,1,1
Kredarica,2541,vrh,25520,1982,6,1,0,
Kres nad Kočno,890,vrh,2414,2231,8,1,0,
Krevl,1515,vrh,304161,982,10,8,0,
Kriški rob,2366,vrh,382986,688,4,2,0,1
Križ,2410,vrh,565722,148,9,8,0,5
Krn,2244,vrh,871740,8,21,12,5,7
Krnsko jezero,1391,"jezero, planina",736759,37,11,2,1,
Krnčica,2142,vrh,450166,447,5,2,0,
Krsteniški Stog,1879,vrh,316335,932,8,2,0,
Kser,1900,vrh,286920,1048,1,2,0,1
Kucelj (Julijske Alpe),2372,vrh,1620,2340,15,1,0,
Kukova špica,2427,vrh,545064,184,10,2,2,2
Kumlehova glava,1788,vrh,381784,691,3,2,0,
Kup,1046,vrh,265323,1129,10,2,0,
Kurji vrh,1762,vrh,438051,489,3,2,1,1
Lajnar,1549,vrh,489765,325,8,5,1,1
Lanževica,2003,vrh,500531,297,14,6,1,1
Lengarjeva glava,1498,vrh,167037,1511,1,1,0,
Lipanski vrh,1974,vrh,500148,299,8,3,0,5
Lipenšči hrib,1375,vrh,221384,1297,4,1,0,
